Date,SKU,Product,Region,Channel,Qty,Unit Price,Revenue
2025-04-25,WM-141,Alpine Softshell Vest,North,Retail,3,129.00,387.00
2025-04-09,WM-230,Trailrunner Trail Shoe,West,Wholesale,2,119.00,238.00
2026-03-10,WM-210,Voyager Sleeping Bag 20F,West,Online,4,159.00,636.00
2026-04-22,WM-191,Basecamp 4P Tent,North,Wholesale,2,349.00,698.00
2025-08-03,WM-180,Summit Trekking Poles (Pair),North,Online,1,74.00,74.00
2026-02-28,WM-190,Basecamp 2P Tent,East,Retail,4,249.00,996.00
2025-07-03,WM-180,Summit Trekking Poles (Pair),North,Online,4,74.00,296.00
2025-12-13,WM-215,Voyager Sleeping Pad,South,Online,4,89.00,356.00
2025-12-27,WM-270,Compass Nav Watch,South,Online,5,189.00,945.00
2025-08-18,WM-101,Trailhead Backpack 28L,West,,3,89.00,267.00
2026-04-29,WM-160,Ridge Merino Base Layer,West,Retail,3,59.00,177.00
2025-09-16,WM-231,Trailrunner Hiking Boot,South,Online,1,159.00,159.00
2025-04-24,WM-181,Summit Camp Stove,South,Wholesale,1,64.00,64.00
2026-03-26,WM-190,Basecamp 2P Tent,South,Retail,4,249.00,996.00
2026-02-28,WM-251,Aqua Hydration Bladder 2L,North,Retail,4,34.00,136.00
2025-11-02,WM-210,Voyager Sleeping Bag 20F,East,Retail,2,159.00,318.00
2025-08-13,WM-101,Trailhead Backpack 28L,North,Online,4,89.00,356.00
2025-11-17,WM-190,Basecamp 2P Tent,West,Retail,1,249.00,249.00
2025-09-13,WM-190,Basecamp 2P Tent,North,Wholesale,1,249.00,249.00
2026-06-27,WM-102,Trailhead Backpack 45L,South,Wholesale,1,129.00,129.00
2025-11-13,WM-210,Voyager Sleeping Bag 20F,West,Wholesale,1,159.00,159.00
2025-12-11,WM-101,Trailhead Backpack 28L,West,Wholesale,1,89.00,89.00
2025-07-25,WM-270,Compass Nav Watch,South,Retail,2,189.00,378.00
2025-11-22,WM-215,Voyager Sleeping Pad,North,Wholesale,12,89.00,1068.00
2026-05-03,WM-210,Voyager Sleeping Bag 20F,East,Retail,2,159.00,318.00
2025-05-04,WM-210,Voyager Sleeping Bag 20F,West,Online,4,159.00,636.00
2026-04-18,WM-210,Voyager Sleeping Bag 20F,North,Wholesale,2,159.00,318.00
2025-09-11,WM-231,Trailrunner Hiking Boot,West,Wholesale,2,159.00,318.00
2025-04-30,WM-190,Basecamp 2P Tent,West,Retail,3,249.00,747.00
2025-07-21,WM-271,Compass Headlamp 400,North,Wholesale,2,44.00,88.00
