OrderID,Order Date,CustomerID,Channel,Region,Status,Total
ORD-102418,2026-04-02,CUST-8851,Wholesale,East,Cancelled,1047.00
ORD-102770,2026-05-30,CUST-4656,Wholesale,West,Fulfilled,237.00
ORD-100374,2025-06-03,CUST-2607,Online,South,Fulfilled,2440.00
ORD-100831,2025-08-09,CUST-3967,Online,West,Refunded,1220.00
ORD-100626,2025-07-12,CUST-6654,Online,West,Cancelled,166.00
ORD-100175,2025-04-30,CUST-1578,Online,South,Fulfilled,834.00
ORD-102065,2026-02-03,CUST-9622,Retail,West,Cancelled,862.00
ORD-100826,2025-08-09,CUST-6849,Retail,North,Refunded,352.00
ORD-100335,2025-05-27,CUST-5273,Online,West,Fulfilled,562.00
ORD-100418,2025-06-10,CUST-6410,Retail,West,Fulfilled,1899.00
ORD-102571,2026-04-28,CUST-3633,Wholesale,North,Fulfilled,827.00
ORD-102634,2026-05-09,CUST-7363,Wholesale,South,Cancelled,397.00
ORD-100158,2025-04-27,CUST-2141,Retail,South,Cancelled,980.00
ORD-101450,2025-11-09,CUST-9193,Online,East,Cancelled,646.00
ORD-100176,2025-04-30,CUST-2468,Retail,East,Refunded,958.00
ORD-102513,2026-04-18,CUST-3618,Wholesale,South,Cancelled,824.00
ORD-101263,2025-10-14,CUST-4119,Online,East,Cancelled,395.00
ORD-101496,2025-11-14,CUST-9064,Retail,East,Fulfilled,1721.00
ORD-100444,2025-06-15,CUST-7818,Wholesale,South,Fulfilled,1291.00
ORD-101219,2025-10-07,CUST-5358,Online,South,Fulfilled,498.00
ORD-102947,2026-06-27,CUST-3538,Online,South,Fulfilled,447.00
ORD-100892,2025-08-17,CUST-5094,Wholesale,West,Cancelled,606.00
ORD-102871,2026-06-15,CUST-6565,Retail,East,Cancelled,414.00
ORD-102539,2026-04-22,CUST-6046,Online,West,Fulfilled,265.00
ORD-101588,2025-11-24,CUST-2841,Wholesale,East,Fulfilled,376.00
ORD-100597,2025-07-08,CUST-4891,Retail,West,Fulfilled,811.00
ORD-102766,2026-05-30,CUST-8457,Wholesale,North,Fulfilled,1202.00
ORD-102445,2026-04-06,CUST-8036,Retail,West,Cancelled,1572.00
ORD-101402,2025-11-03,CUST-5794,Retail,West,Refunded,283.00
ORD-100448,2025-06-16,CUST-6138,Wholesale,North,Fulfilled,673.00
ORD-102309,2026-03-16,CUST-2939,Wholesale,North,Refunded,851.00
ORD-100721,2025-07-26,CUST-4542,Wholesale,North,Refunded,546.00
ORD-100408,2025-06-09,CUST-7118,Retail,North,Fulfilled,665.00
ORD-102375,2026-03-27,CUST-7797,Retail,North,Refunded,481.00
ORD-102162,2026-02-20,CUST-9584,Retail,South,Fulfilled,308.00
ORD-102265,2026-03-09,CUST-3342,Wholesale,North,Fulfilled,495.00
ORD-102173,2026-02-22,CUST-7165,Retail,North,Fulfilled,362.00
ORD-100975,2025-08-28,CUST-5904,Wholesale,West,Refunded,784.00
ORD-101910,2025-12-31,CUST-1511,Retail,East,Fulfilled,1342.00
ORD-102119,2026-02-13,CUST-8499,Online,South,Fulfilled,137.00
ORD-102761,2026-05-29,CUST-4093,Wholesale,East,Fulfilled,360.00
ORD-101943,2026-01-07,CUST-2313,Online,West,Fulfilled,211.00
ORD-100127,2025-04-22,CUST-2569,Online,South,Fulfilled,1225.00
ORD-102863,2026-06-14,CUST-2242,Online,South,Fulfilled,660.00
ORD-102227,2026-03-03,CUST-5318,Online,North,Fulfilled,714.00
ORD-100171,2025-04-29,CUST-6282,Wholesale,East,Fulfilled,1164.00
ORD-100843,2025-08-11,CUST-8819,Wholesale,South,Cancelled,572.00
ORD-100817,2025-08-08,CUST-6241,Retail,North,Refunded,258.00
ORD-102814,2026-06-06,CUST-3942,Retail,,Fulfilled,1514.00
ORD-102725,2026-05-23,CUST-3090,Wholesale,South,Cancelled,627.00
ORD-100773,2025-08-02,CUST-5115,Wholesale,North,Fulfilled,1128.00
ORD-101896,2025-12-29,CUST-8454,Wholesale,West,Cancelled,2047.00
ORD-100363,2025-06-01,CUST-4217,Retail,East,Cancelled,509.00
ORD-101168,2025-09-29,CUST-1877,Online,North,Refunded,2481.00
ORD-102332,2026-03-20,CUST-4888,Online,South,Fulfilled,1471.00
ORD-102847,2026-06-12,CUST-9980,Online,,Refunded,1452.00
ORD-101132,2025-09-23,CUST-4585,Wholesale,East,Fulfilled,723.00
ORD-100641,2025-07-14,CUST-9198,Online,West,Fulfilled,282.00
